,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4295,4296,96.0,2.0,USA,6000000.0,371081.0,7479,86.0,46.0,857,0.0,49000.0,1000.0,902.0,51441,7.0,Good
512,513,136.0,1.0,USA,100000000.0,67286731.0,67856,345.0,140.0,0,394.0,24000.0,10000.0,1000.0,36925,6.7,Good
939,940,123.0,0.0,USA,60000000.0,105264608.0,239752,406.0,120.0,11000,277.0,11000.0,10000.0,4000.0,25697,7.6,Good
3696,3697,95.0,0.0,USA,4000000.0,87025093.0,188679,864.0,250.0,0,163.0,1000.0,654.0,651.0,4134,6.6,Good
4208,4209,89.0,2.0,USA,2500000.0,,858,7.0,2.0,190,20.0,794.0,607.0,555.0,2579,5.8,Fair
4910,4911,59.0,0.0,France,150000.0,,352,4.0,16.0,44,121.0,27.0,0.0,0.0,27,7.4,Good
1366,1367,112.0,0.0,USA,38000000.0,34912982.0,55617,266.0,194.0,14000,5.0,17000.0,1000.0,724.0,19974,5.2,Fair
270,271,120.0,0.0,USA,110000000.0,24004159.0,68720,191.0,188.0,0,153.0,1000.0,1000.0,447.0,3175,5.8,Fair
4322,4323,81.0,0.0,UK,2000000.0,,7,,,0,0.0,674.0,27.0,8.0,712,7.4,Good
1600,1601,112.0,0.0,South Africa,30000000.0,115646235.0,531737,1262.0,472.0,22000,662.0,2000.0,433.0,107.0,2639,8.0,Good
4220,4221,108.0,3.0,USA,2295429.0,,3538,46.0,14.0,438,24.0,960.0,715.0,244.0,2329,7.0,Good
4452,4453,101.0,,USA,2000000.0,,162,8.0,9.0,724,20.0,1000.0,301.0,256.0,2419,4.8,Fair
2073,2074,100.0,1.0,UK,23000000.0,2708188.0,8924,43.0,155.0,0,350.0,201.0,123.0,30.0,365,6.2,Good
4901,4902,119.0,0.0,Germany,,59774.0,4212,18.0,76.0,2000,670.0,24.0,20.0,9.0,69,6.8,Good
2873,2874,93.0,1.0,UK,13000000.0,4919896.0,21530,159.0,111.0,618,16.0,567.0,326.0,258.0,1775,6.1,Good
3639,3640,107.0,0.0,UK,6000000.0,54606.0,1940,34.0,47.0,30,11.0,773.0,766.0,419.0,2440,6.2,Good
1016,1017,102.0,3.0,USA,49900000.0,21557240.0,85237,274.0,208.0,18000,234.0,20000.0,11000.0,11000.0,45202,5.6,Fair
669,670,99.0,0.0,USA,65000000.0,59617068.0,213863,310.0,313.0,59000,119.0,600.0,346.0,174.0,1375,6.4,Good
5040,5041,100.0,5.0,USA,,10443.0,1255,9.0,14.0,660,0.0,946.0,719.0,489.0,2386,6.3,Good
2482,2483,93.0,4.0,USA,18000000.0,,13133,101.0,46.0,0,32.0,13000.0,1000.0,1000.0,16735,4.6,Fair
1008,1009,119.0,8.0,USA,50000000.0,24006726.0,139535,632.0,259.0,0,0.0,13000.0,1000.0,639.0,15757,7.3,Good
4276,4277,116.0,2.0,USA,2000000.0,3335839.0,54657,222.0,118.0,0,453.0,24000.0,23000.0,2000.0,50313,7.0,Good
4493,4494,85.0,1.0,USA,1200000.0,2199853.0,19986,186.0,99.0,0,91.0,1000.0,1000.0,849.0,4289,6.6,Good
3133,3134,98.0,0.0,USA,10000000.0,25464480.0,63108,330.0,183.0,15000,58.0,14000.0,537.0,242.0,15251,5.9,Fair
762,763,116.0,0.0,USA,75000000.0,47748610.0,170179,656.0,223.0,0,0.0,1000.0,720.0,672.0,3090,6.3,Good
3694,3695,128.0,0.0,India,,563699.0,3266,27.0,24.0,421,4.0,374.0,282.0,47.0,787,6.2,Good
3813,3814,130.0,0.0,USA,5000000.0,,15988,153.0,64.0,2000,0.0,1000.0,849.0,826.0,5191,6.8,Good
804,805,106.0,3.0,Germany,60000000.0,17281832.0,60232,110.0,161.0,0,34.0,3000.0,1000.0,466.0,5329,6.1,Good
2840,2841,83.0,2.0,USA,13000000.0,46729374.0,116625,469.0,106.0,0,8.0,3000.0,934.0,612.0,6454,5.5,Fair
1818,1819,109.0,0.0,UK,25000000.0,,19568,208.0,56.0,0,181.0,303.0,146.0,137.0,960,6.7,Good
1413,1414,105.0,2.0,USA,35000000.0,67962333.0,33887,160.0,104.0,919,8.0,1000.0,358.0,278.0,2689,5.9,Fair
2824,2825,124.0,1.0,UK,13500000.0,7060876.0,44795,314.0,132.0,0,133.0,14000.0,230.0,170.0,14726,7.4,Good
2464,2465,98.0,1.0,Germany,18000000.0,,14324,93.0,97.0,1000,34.0,663.0,551.0,394.0,2215,5.1,Fair
935,936,112.0,0.0,USA,50000000.0,126975169.0,287822,849.0,539.0,37000,14000.0,1000.0,560.0,417.0,3388,7.1,Good
1203,1204,123.0,2.0,USA,40000000.0,94125426.0,79264,277.0,252.0,13000,0.0,11000.0,935.0,923.0,13321,7.0,Good
3789,3790,118.0,0.0,USA,,228830.0,3329,22.0,121.0,489,239.0,6.0,0.0,0.0,6,7.5,Good
3800,3801,91.0,0.0,USA,5000000.0,,7888,55.0,56.0,0,110.0,46.0,21.0,14.0,117,4.2,Fair
2591,2592,122.0,1.0,USA,16000000.0,2428883.0,21370,132.0,208.0,0,0.0,883.0,596.0,567.0,2896,6.6,Good
2217,2218,113.0,3.0,USA,20000000.0,31146570.0,55441,165.0,258.0,0,108.0,1000.0,100.0,22.0,1136,6.9,Good
2911,2912,108.0,5.0,Canada,15000000.0,1039869.0,14757,51.0,117.0,0,60.0,18000.0,322.0,168.0,18739,6.2,Good
2638,2639,105.0,1.0,USA,37000000.0,20991497.0,39782,172.0,138.0,11000,488.0,15000.0,14000.0,13000.0,44037,5.4,Fair
1984,1985,105.0,3.0,USA,25000000.0,10070000.0,5668,50.0,20.0,491,121.0,3000.0,624.0,354.0,5023,6.2,Good
3871,3872,103.0,1.0,USA,4500000.0,8691.0,4952,32.0,29.0,0,249.0,2000.0,298.0,261.0,3089,5.8,Fair
2210,2211,158.0,3.0,USA,20000000.0,,9352,106.0,20.0,0,32.0,16000.0,756.0,417.0,17775,6.7,Good
2314,2315,100.0,1.0,USA,20000000.0,5005883.0,29649,361.0,167.0,0,143.0,829.0,681.0,430.0,2295,6.1,Good
700,701,98.0,1.0,USA,64000000.0,58255287.0,39471,187.0,78.0,0,322.0,979.0,862.0,723.0,6334,4.3,Fair
3338,3339,101.0,4.0,USA,8500000.0,34017854.0,51326,116.0,132.0,8000,17.0,35000.0,966.0,429.0,36892,6.5,Good
544,545,163.0,0.0,France,70000000.0,47379090.0,176936,824.0,298.0,0,14000.0,745.0,486.0,412.0,2529,7.6,Good
2642,2643,120.0,2.0,USA,15000000.0,33771174.0,27044,240.0,78.0,0,18.0,20000.0,1000.0,944.0,22383,6.8,Good
3457,3458,107.0,0.0,Germany,5000000.0,,80639,96.0,93.0,25000,23.0,287.0,150.0,93.0,635,7.6,Good
2165,2166,105.0,0.0,USA,20000000.0,80050171.0,186984,491.0,253.0,0,154.0,884.0,617.0,501.0,2287,6.9,Good
3014,3015,111.0,1.0,USA,12000000.0,14616.0,314,10.0,1.0,26000,0.0,1000.0,445.0,247.0,2059,7.5,Good
4931,4932,88.0,0.0,USA,1200000.0,110720.0,524,22.0,18.0,73,14.0,142.0,23.0,3.0,168,7.3,Good
3909,3910,82.0,1.0,USA,6000000.0,9821335.0,1415,10.0,22.0,118,69.0,939.0,706.0,585.0,3354,4.0,Bad
958,959,98.0,3.0,USA,65000000.0,67128202.0,43328,110.0,166.0,0,99.0,12000.0,536.0,433.0,14007,5.7,Fair
3172,3173,87.0,1.0,USA,,6857503.0,32697,85.0,212.0,0,44.0,1000.0,939.0,727.0,4769,6.3,Good
3703,3704,108.0,1.0,USA,5000000.0,43771291.0,79916,279.0,297.0,15000,0.0,1000.0,562.0,458.0,3215,7.1,Good
2667,2668,94.0,0.0,USA,15000000.0,22189039.0,17074,55.0,25.0,466,11.0,1000.0,605.0,232.0,2210,5.5,Fair
3104,3105,90.0,0.0,Germany,10000000.0,37470017.0,86890,985.0,190.0,0,108.0,1000.0,322.0,270.0,1982,6.1,Good
681,682,101.0,0.0,USA,65000000.0,28045540.0,67707,202.0,136.0,0,4000.0,17000.0,14000.0,539.0,32232,6.1,Good
4631,4632,103.0,0.0,USA,,,4998,55.0,32.0,785,17.0,754.0,605.0,113.0,1567,7.1,Good
4278,4279,101.0,0.0,USA,2000000.0,2506446.0,8662,172.0,108.0,134,0.0,8000.0,724.0,685.0,11327,4.7,Fair
2347,2348,83.0,0.0,South Africa,20000000.0,,5203,11.0,39.0,1000,0.0,12000.0,857.0,700.0,15680,5.8,Fair
3561,3562,88.0,2.0,USA,6500000.0,13367101.0,19715,166.0,111.0,515,132.0,435.0,230.0,180.0,1140,5.9,Fair
577,578,109.0,0.0,France,59660000.0,18947630.0,11798,124.0,88.0,2000,218.0,21.0,17.0,8.0,55,7.1,Good
3956,3957,120.0,0.0,Russia,4000000.0,,2488,3.0,8.0,282,0.0,114.0,45.0,22.0,183,7.5,Good
2539,2540,113.0,2.0,USA,16000000.0,127175354.0,288451,438.0,84.0,0,137.0,879.0,854.0,481.0,2985,7.3,Good
1735,1736,42.0,0.0,USA,,,20839,56.0,13.0,12000,,757.0,641.0,442.0,3309,7.6,Good
2844,2845,97.0,6.0,USA,16000000.0,38176108.0,222099,549.0,133.0,10000,19.0,23000.0,13000.0,835.0,37907,7.2,Good
4563,4564,86.0,2.0,UK,1000000.0,1277257.0,2629,32.0,18.0,227,132.0,778.0,695.0,584.0,2400,6.8,Good
4741,4742,98.0,1.0,USA,500000.0,295468.0,709,34.0,25.0,139,71.0,22000.0,1000.0,658.0,24382,6.0,Fair
2588,2589,92.0,2.0,USA,16000000.0,2964.0,7444,42.0,54.0,0,143.0,1000.0,945.0,613.0,3086,5.1,Fair
2830,2831,108.0,0.0,UK,,2605039.0,85022,616.0,454.0,29000,143.0,19000.0,50.0,21.0,19086,6.3,Good
200,201,95.0,3.0,USA,130000000.0,148337537.0,172754,187.0,233.0,13000,96.0,24000.0,11000.0,8000.0,46120,7.3,Good
2042,2043,93.0,2.0,USA,24000000.0,4308981.0,2265,37.0,18.0,839,9.0,23000.0,284.0,254.0,24436,3.9,Bad
1478,1479,98.0,1.0,UK,31000000.0,16831505.0,51842,173.0,129.0,0,12.0,4000.0,4000.0,663.0,9330,6.3,Good
857,858,137.0,0.0,USA,30000000.0,66207920.0,512749,935.0,304.0,0,16000.0,890.0,387.0,348.0,1959,8.0,Good
1169,1170,122.0,2.0,USA,50000000.0,24127895.0,248123,437.0,168.0,10000,487.0,12000.0,43.0,16.0,12076,7.6,Good
2297,2298,108.0,3.0,USA,20000000.0,8054280.0,6838,117.0,76.0,924,54.0,786.0,567.0,463.0,2730,6.3,Good
1616,1617,91.0,0.0,Australia,30000000.0,66600000.0,94435,182.0,79.0,5000,108.0,405.0,368.0,204.0,1185,6.8,Good
4425,4426,93.0,0.0,USA,1500000.0,,23349,235.0,229.0,0,134.0,936.0,935.0,488.0,3668,5.7,Fair
4756,4757,91.0,2.0,USA,500000.0,12055.0,739,10.0,28.0,339,0.0,472.0,185.0,170.0,1047,6.5,Good
3616,3617,94.0,0.0,USA,6500000.0,4693919.0,11011,78.0,42.0,422,0.0,1000.0,1000.0,664.0,4484,4.6,Fair
3278,3279,106.0,2.0,USA,10000000.0,3571735.0,39260,129.0,259.0,0,50.0,17000.0,908.0,741.0,21711,6.6,Good
2277,2278,102.0,1.0,USA,22000000.0,12469811.0,69172,316.0,156.0,0,563.0,12000.0,442.0,385.0,13156,6.6,Good
397,398,108.0,1.0,USA,75000000.0,176049130.0,348232,806.0,239.0,0,521.0,13000.0,805.0,129.0,14161,7.8,Good
545,546,142.0,1.0,USA,70000000.0,43426961.0,93494,394.0,89.0,0,845.0,13000.0,1000.0,787.0,16580,6.6,Good
3017,3018,89.0,6.0,USA,12000000.0,,105,7.0,3.0,634,49.0,551.0,85.0,84.0,895,2.8,Bad
3320,3321,105.0,1.0,France,,2874.0,1219,14.0,66.0,120,25.0,963.0,168.0,98.0,1375,6.0,Fair
208,209,101.0,0.0,USA,103000000.0,131536019.0,58498,99.0,159.0,0,107.0,688.0,237.0,56.0,1031,6.4,Good
868,869,110.0,0.0,USA,55000000.0,38553833.0,46239,155.0,62.0,0,81.0,1000.0,416.0,163.0,1752,6.8,Good
3897,3898,91.0,1.0,USA,4000000.0,35385560.0,27198,131.0,149.0,8000,357.0,3000.0,465.0,326.0,4807,4.6,Fair
3475,3476,143.0,4.0,Australia,105000000.0,144812796.0,362933,753.0,490.0,115000,1000.0,29000.0,509.0,76.0,29769,7.3,Good
172,173,138.0,1.0,USA,150000000.0,93926386.0,168207,684.0,244.0,0,608.0,613.0,172.0,168.0,1205,7.4,Good
4134,4135,92.0,0.0,USA,3000000.0,,13640,128.0,87.0,3000,128.0,756.0,754.0,480.0,2715,7.4,Good
78,79,106.0,0.0,UK,175000000.0,362645141.0,106072,398.0,370.0,65000,4000.0,19000.0,13000.0,591.0,32921,7.8,Good
3317,3318,45.0,1.0,Denmark,45000000.0,145109.0,14247,44.0,80.0,0,28.0,573.0,197.0,104.0,1098,7.3,Good
1660,1661,98.0,0.0,USA,30000000.0,35565975.0,49205,184.0,218.0,0,15000.0,15000.0,839.0,392.0,16827,6.1,Good
967,968,109.0,1.0,USA,60000000.0,55092830.0,195043,329.0,288.0,27000,154.0,15000.0,348.0,144.0,15608,6.1,Good
3925,3926,94.0,3.0,USA,4000000.0,2800000.0,4377,85.0,45.0,309,24.0,834.0,625.0,545.0,2662,5.8,Fair
2454,2455,117.0,0.0,Australia,,4806750.0,6091,53.0,83.0,0,78.0,989.0,258.0,238.0,1598,7.4,Good
1254,1255,95.0,1.0,USA,40000000.0,37101011.0,30394,103.0,147.0,0,98.0,405.0,358.0,78.0,1070,5.8,Fair
4261,4262,119.0,8.0,USA,1614000.0,,2269,34.0,12.0,236,6.0,1000.0,760.0,380.0,2555,7.1,Good
1329,1330,107.0,1.0,USA,39000000.0,63411478.0,114925,234.0,214.0,13000,124.0,152.0,142.0,100.0,568,7.1,Good
594,595,110.0,1.0,USA,70000000.0,42272747.0,78635,1040.0,284.0,0,0.0,3000.0,579.0,559.0,5609,5.6,Fair
2776,2777,119.0,2.0,USA,14000000.0,34700000.0,52846,143.0,51.0,0,350.0,18000.0,17000.0,418.0,35501,7.7,Good
1952,1953,93.0,5.0,USA,25000000.0,17718223.0,162067,316.0,92.0,0,17.0,13000.0,634.0,360.0,14180,6.6,Good
4510,4511,91.0,0.0,USA,2600000.0,2850263.0,5061,70.0,9.0,0,38.0,584.0,399.0,117.0,1218,6.2,Good
1774,1775,81.0,6.0,USA,28000000.0,66950483.0,29738,85.0,119.0,12000,44.0,35000.0,7000.0,3000.0,47677,6.2,Good
4212,4213,101.0,0.0,Poland,2400000.0,978908.0,4057,90.0,25.0,250,9.0,973.0,872.0,201.0,2306,5.1,Fair
2740,2741,97.0,0.0,UK,,122288.0,64777,201.0,195.0,0,197.0,13000.0,794.0,570.0,15293,6.4,Good
4767,4768,122.0,0.0,USA,,,292,16.0,1.0,353,406.0,358.0,317.0,152.0,1038,2.2,Bad
1312,1313,84.0,3.0,France,40000000.0,4777007.0,15130,98.0,61.0,565,8.0,545.0,248.0,219.0,1149,5.8,Fair
1990,1991,95.0,3.0,USA,25000000.0,5654777.0,4875,26.0,31.0,206,32.0,843.0,593.0,324.0,2165,4.1,Fair
4560,4561,97.0,1.0,USA,1000000.0,2508841.0,21746,93.0,181.0,0,33.0,496.0,238.0,229.0,994,7.2,Good
2918,2919,80.0,0.0,France,9600000.0,71442.0,12029,32.0,99.0,0,2.0,6000.0,637.0,186.0,6829,7.9,Good
3383,3384,93.0,3.0,USA,5000000.0,14015786.0,37952,298.0,107.0,938,44.0,15000.0,11000.0,596.0,27646,6.5,Good
4924,4925,104.0,1.0,Romania,168000.0,,354,1.0,5.0,34,0.0,0.0,0.0,0.0,0,6.5,Good
4675,4676,86.0,0.0,USA,750000.0,5518918.0,12160,73.0,82.0,307,8.0,2000.0,424.0,357.0,3071,6.9,Good
3087,3088,106.0,4.0,France,11000000.0,,15060,27.0,94.0,0,7.0,68.0,29.0,24.0,175,7.4,Good
3076,3077,98.0,0.0,UK,7000000.0,23838.0,28570,160.0,120.0,0,7.0,805.0,766.0,507.0,2271,5.5,Fair
1483,1484,115.0,3.0,USA,35000000.0,14587732.0,4795,39.0,13.0,452,468.0,605.0,367.0,150.0,1290,5.7,Fair
1629,1630,131.0,0.0,USA,55000000.0,52799004.0,28942,223.0,85.0,0,43.0,18000.0,652.0,362.0,19815,6.1,Good
1453,1454,112.0,0.0,USA,35000000.0,30691439.0,86205,232.0,208.0,5000,192.0,1000.0,915.0,844.0,3185,6.2,Good
3820,3821,148.0,0.0,USA,890000.0,24475416.0,72443,309.0,104.0,0,0.0,3000.0,324.0,263.0,3967,8.0,Good
1955,1956,107.0,0.0,USA,25000000.0,16118077.0,5817,37.0,28.0,377,21.0,967.0,767.0,418.0,3067,5.6,Fair
2968,2969,100.0,0.0,UK,,11634362.0,60171,296.0,160.0,0,73.0,19000.0,14000.0,1000.0,34700,7.0,Good
2835,2836,117.0,0.0,USA,100000000.0,58607007.0,182910,630.0,492.0,60000,294.0,10000.0,2000.0,1000.0,14160,6.2,Good
4633,4634,30.0,8.0,USA,,,954,14.0,,57,,775.0,275.0,223.0,1713,5.9,Fair
4159,4160,144.0,0.0,India,120000000.0,,27569,106.0,15.0,349,124.0,464.0,426.0,327.0,1761,8.2,Excellent
945,946,129.0,2.0,USA,45000000.0,88504640.0,273108,646.0,230.0,0,0.0,18000.0,412.0,277.0,19148,7.6,Good
2387,2388,107.0,2.0,China,,,625,4.0,23.0,124,15.0,82.0,39.0,27.0,151,5.7,Fair
2799,2800,86.0,5.0,USA,14000000.0,10397365.0,11693,104.0,61.0,613,70.0,878.0,834.0,169.0,2165,5.4,Fair
2831,2832,121.0,1.0,USA,13000000.0,123922370.0,98348,131.0,62.0,0,272.0,49000.0,263.0,227.0,50141,7.3,Good
1352,1353,98.0,1.0,USA,38000000.0,22770864.0,8433,85.0,55.0,168,11.0,854.0,543.0,466.0,2765,5.5,Fair
2519,2520,122.0,2.0,Germany,17000000.0,6855137.0,88590,419.0,157.0,0,47.0,23000.0,979.0,834.0,27381,7.4,Good
2536,2537,108.0,2.0,USA,16500000.0,11702090.0,37700,50.0,72.0,0,18.0,714.0,701.0,433.0,2785,6.3,Good
116,117,104.0,0.0,USA,150000000.0,256386216.0,530870,1413.0,323.0,11000,508.0,10000.0,1000.0,558.0,13076,7.2,Good
4909,4910,89.0,0.0,USA,,,78,1.0,1.0,267,0.0,138.0,18.0,15.0,192,6.8,Good
419,420,178.0,0.0,USA,90000000.0,44606335.0,169023,703.0,98.0,10000,102.0,12000.0,11000.0,551.0,23950,7.1,Good
3416,3417,98.0,4.0,UK,8000000.0,117190.0,29994,86.0,68.0,0,36.0,10000.0,692.0,405.0,11770,6.9,Good
675,676,114.0,0.0,USA,16900000.0,,41776,383.0,97.0,0,468.0,1000.0,1000.0,919.0,3860,6.4,Good
4453,4454,99.0,0.0,Canada,3150000.0,,4948,33.0,63.0,969,10.0,756.0,382.0,295.0,2072,5.5,Fair
2744,2745,90.0,5.0,USA,15000000.0,28870.0,14280,41.0,62.0,0,68.0,17000.0,14000.0,642.0,32814,5.1,Fair
787,788,152.0,1.0,USA,60000000.0,32522352.0,207287,822.0,149.0,15000,488.0,22000.0,11000.0,947.0,36897,7.9,Good
3946,3947,112.0,0.0,Australia,16000000.0,317125.0,23334,87.0,141.0,0,105.0,18000.0,6000.0,748.0,25269,6.2,Good
1126,1127,106.0,0.0,USA,45000000.0,11146409.0,26551,273.0,106.0,0,208.0,3000.0,1000.0,855.0,6558,6.0,Fair
4260,4261,134.0,1.0,USA,2000000.0,,62860,167.0,100.0,0,31.0,654.0,491.0,366.0,2290,8.0,Good
3756,3757,82.0,0.0,USA,5000000.0,9628751.0,5164,65.0,29.0,207,99.0,93.0,45.0,44.0,315,5.9,Fair
1308,1309,83.0,0.0,USA,24000000.0,10431220.0,24216,162.0,75.0,401,7.0,2000.0,577.0,485.0,4024,4.1,Fair
4045,4046,109.0,6.0,USA,3000000.0,141600000.0,90177,257.0,94.0,0,644.0,1000.0,783.0,559.0,3468,7.6,Good
219,220,123.0,0.0,USA,125000000.0,215397307.0,242188,1426.0,237.0,0,610.0,10000.0,794.0,653.0,11930,6.1,Good
3008,3009,132.0,0.0,China,12000000.0,119922.0,8429,62.0,149.0,0,14.0,52.0,32.0,3.0,91,7.7,Good
2450,2451,126.0,0.0,Russia,20000000.0,5701643.0,37635,165.0,160.0,0,44.0,627.0,12.0,9.0,653,7.3,Good
3949,3950,98.0,1.0,USA,650000.0,18469.0,34263,141.0,215.0,0,53.0,530.0,238.0,65.0,1038,6.5,Good
4332,4333,106.0,2.0,USA,2000000.0,2436.0,344,19.0,94.0,655,5.0,416.0,403.0,356.0,1611,5.7,Fair
3822,3823,93.0,0.0,USA,4800000.0,47277326.0,138814,1516.0,303.0,0,0.0,1000.0,1000.0,581.0,2990,5.9,Fair
4025,4026,99.0,1.0,USA,,,1262,13.0,10.0,224,0.0,141.0,69.0,43.0,320,6.1,Good
3931,3932,87.0,0.0,USA,4000000.0,800000.0,2308,35.0,15.0,550,101.0,721.0,576.0,324.0,1700,4.8,Fair
737,738,115.0,2.0,USA,55000000.0,74540762.0,48753,323.0,125.0,0,13.0,2000.0,1000.0,579.0,4496,6.5,Good
2386,2387,97.0,8.0,Canada,15000000.0,20433940.0,78883,662.0,252.0,0,0.0,654.0,529.0,233.0,1876,6.2,Good
4792,4793,84.0,0.0,USA,15000.0,107917283.0,184824,1189.0,409.0,12000,110.0,189.0,109.0,21.0,330,6.3,Good
3360,3361,101.0,1.0,USA,8000000.0,59889948.0,355810,889.0,270.0,15000,36.0,7000.0,150.0,27.0,7227,7.9,Good
765,766,104.0,1.0,USA,48000000.0,46611204.0,55749,257.0,92.0,0,165.0,1000.0,967.0,944.0,4294,6.1,Good
1892,1893,115.0,1.0,USA,25000000.0,55973336.0,57040,365.0,70.0,0,43.0,5000.0,848.0,775.0,9082,6.1,Good
1574,1575,161.0,0.0,USA,31000000.0,87100000.0,52339,200.0,66.0,0,521.0,11000.0,920.0,184.0,12518,7.2,Good
2198,2199,115.0,1.0,USA,20000000.0,37442180.0,28005,236.0,111.0,0,272.0,49000.0,2000.0,1000.0,52571,6.2,Good
2078,2079,96.0,2.0,USA,22700000.0,38119483.0,136667,273.0,103.0,13000,0.0,1000.0,605.0,542.0,2936,7.1,Good
739,740,105.0,1.0,USA,60000000.0,73648142.0,99043,643.0,199.0,0,212.0,1000.0,975.0,811.0,3697,5.8,Fair
344,345,105.0,0.0,USA,93000000.0,176740650.0,403836,646.0,529.0,47000,81.0,11000.0,1000.0,779.0,13118,7.6,Good
3414,3415,93.0,1.0,Canada,8000000.0,298110.0,25055,98.0,140.0,0,8.0,553.0,177.0,33.0,786,6.8,Good
2183,2184,128.0,0.0,UK,20000000.0,52066000.0,61114,212.0,364.0,22000,151.0,1000.0,1000.0,852.0,3869,7.5,Good
1537,1538,124.0,0.0,USA,32000000.0,34180954.0,189812,370.0,299.0,15000,335.0,14000.0,388.0,50.0,14504,7.6,Good
3514,3515,99.0,0.0,USA,7000000.0,1654367.0,18355,106.0,117.0,3000,60.0,4000.0,787.0,628.0,6526,6.4,Good
2438,2439,109.0,0.0,USA,18000000.0,13491653.0,23728,213.0,104.0,813,128.0,11000.0,2000.0,1000.0,14995,6.1,Good
953,954,80.0,0.0,USA,35000000.0,75367693.0,58961,232.0,116.0,795,12.0,13000.0,258.0,58.0,13430,5.0,Fair
3750,3751,90.0,0.0,USA,8000000.0,,15345,87.0,44.0,0,152.0,21000.0,982.0,826.0,23714,6.2,Good
4972,4973,84.0,0.0,USA,60000.0,3216970.0,142619,586.0,138.0,24000,0.0,1000.0,512.0,194.0,2065,7.5,Good
5020,5021,85.0,0.0,USA,15000.0,192467.0,4067,71.0,51.0,297,157.0,830.0,224.0,10.0,1064,6.6,Good
142,143,88.0,0.0,USA,150000000.0,21379315.0,17590,112.0,132.0,0,25.0,921.0,562.0,433.0,2652,5.4,Fair
