,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
3332,3333,125.0,0.0,USA,8500000.0,29200000.0,6142,52.0,32.0,1000,43.0,563.0,236.0,122.0,1097,6.9,Good
4210,4211,94.0,1.0,USA,3500000.0,,63,2.0,10.0,89,0.0,1000.0,677.0,442.0,2406,6.3,Good
2766,2767,101.0,0.0,USA,15000000.0,,1554,20.0,22.0,0,34.0,892.0,355.0,277.0,2055,5.7,Fair
4818,4819,43.0,6.0,USA,,,72017,323.0,23.0,17000,,2000.0,821.0,576.0,5052,6.7,Good
1890,1891,108.0,1.0,USA,25000000.0,70625986.0,168717,178.0,245.0,24000,425.0,20000.0,962.0,766.0,22739,6.2,Good
3346,3347,126.0,0.0,USA,8000000.0,1997807.0,5158,140.0,46.0,196,407.0,638.0,107.0,39.0,823,7.1,Good
2092,2093,133.0,0.0,UK,22000000.0,51483949.0,208092,806.0,226.0,0,235.0,955.0,593.0,105.0,1777,7.0,Good
151,152,88.0,2.0,USA,140000000.0,190418803.0,270207,606.0,208.0,2000,188.0,10000.0,3000.0,826.0,14823,6.1,Good
416,417,145.0,1.0,USA,85000000.0,57010853.0,119286,548.0,229.0,0,252.0,879.0,691.0,210.0,2380,7.3,Good
2461,2462,93.0,2.0,USA,2700000.0,3500000.0,10082,100.0,70.0,0,28.0,1000.0,695.0,415.0,2319,5.9,Fair
2561,2562,100.0,9.0,USA,20000000.0,55461307.0,4654,46.0,81.0,18000,24.0,15000.0,1000.0,851.0,18786,6.7,Good
2710,2711,91.0,0.0,USA,15000000.0,8080116.0,6562,66.0,49.0,647,6.0,8000.0,625.0,596.0,10732,5.6,Fair
1164,1165,81.0,1.0,USA,42000000.0,59992760.0,119622,396.0,288.0,0,119.0,468.0,442.0,412.0,2134,5.8,Fair
2088,2089,122.0,3.0,USA,22000000.0,54235441.0,52894,185.0,180.0,55000,529.0,820.0,201.0,171.0,1484,7.3,Good
400,401,110.0,8.0,Germany,75000000.0,20315324.0,88542,254.0,228.0,19000,545.0,14000.0,8000.0,5000.0,27694,5.8,Fair
4792,4793,84.0,0.0,USA,15000.0,107917283.0,184824,1189.0,409.0,12000,110.0,189.0,109.0,21.0,330,6.3,Good
3158,3159,108.0,3.0,USA,10000000.0,11703287.0,4360,148.0,47.0,1000,2.0,772.0,232.0,30.0,1058,7.0,Good
1179,1180,108.0,1.0,Hong Kong,41000000.0,22108977.0,29861,132.0,98.0,505,4.0,687.0,312.0,96.0,1134,5.2,Fair
3073,3074,118.0,2.0,Australia,15000000.0,399879.0,5772,115.0,75.0,302,10.0,172.0,71.0,48.0,378,6.4,Good
459,460,123.0,6.0,USA,75000000.0,101087161.0,225282,339.0,139.0,0,165.0,12000.0,878.0,744.0,15362,6.8,Good
3290,3291,126.0,0.0,USA,20000000.0,17804273.0,20449,370.0,136.0,1000,37.0,12000.0,10000.0,883.0,25660,7.0,Good
259,260,60.0,4.0,USA,,,25402,97.0,29.0,0,,669.0,554.0,432.0,1655,7.6,Good
3776,3777,97.0,1.0,USA,5000000.0,2711210.0,40305,86.0,155.0,0,7.0,8000.0,981.0,939.0,10517,6.4,Good
1081,1082,117.0,1.0,USA,45000000.0,83287363.0,81442,137.0,47.0,0,176.0,11000.0,530.0,308.0,12757,6.9,Good
1897,1898,101.0,1.0,USA,25000000.0,51676606.0,174591,632.0,226.0,0,395.0,40000.0,14000.0,2000.0,58823,7.8,Good
4514,4515,94.0,3.0,USA,3000000.0,16101109.0,76467,236.0,91.0,0,6.0,16000.0,1000.0,804.0,19957,6.8,Good
2425,2426,109.0,0.0,USA,18000000.0,22927390.0,25344,77.0,111.0,0,7.0,2000.0,980.0,827.0,4947,5.6,Fair
2329,2330,125.0,4.0,Australia,40000000.0,1027749.0,8087,33.0,67.0,1000,55.0,991.0,10.0,2.0,1003,7.1,Good
4377,4378,112.0,0.0,USA,1750000.0,,28,1.0,1.0,73,0.0,86.0,42.0,11.0,139,6.3,Good
630,631,124.0,3.0,USA,68000000.0,300523113.0,184637,498.0,293.0,29000,171.0,21000.0,17000.0,10000.0,52547,4.9,Fair
1779,1780,117.0,4.0,USA,21000000.0,28563179.0,72693,199.0,222.0,0,115.0,3000.0,327.0,97.0,3681,6.9,Good
2763,2764,125.0,2.0,USA,14000000.0,178406268.0,213476,271.0,82.0,11000,0.0,8000.0,995.0,700.0,11135,6.9,Good
3430,3431,93.0,2.0,UK,,,3740,13.0,25.0,0,16.0,1000.0,524.0,376.0,2284,5.4,Fair
713,714,81.0,0.0,USA,150000000.0,135381507.0,63912,251.0,161.0,912,10.0,925.0,729.0,397.0,2252,5.8,Fair
1635,1636,126.0,1.0,USA,30000000.0,53680848.0,167967,243.0,131.0,20000,98.0,18000.0,631.0,37.0,18726,7.1,Good
50,51,116.0,2.0,USA,200000000.0,90755643.0,222403,453.0,306.0,23000,179.0,15000.0,567.0,236.0,16149,6.6,Good
494,495,119.0,0.0,USA,44000000.0,21471685.0,65464,1308.0,174.0,0,64.0,743.0,117.0,41.0,971,2.4,Bad
716,717,130.0,2.0,UK,58000000.0,106635996.0,199025,416.0,137.0,0,258.0,394.0,387.0,345.0,1784,7.2,Good
3856,3857,106.0,0.0,USA,2000000.0,410241.0,32357,199.0,92.0,3000,68.0,835.0,601.0,391.0,2110,6.8,Good
3684,3685,157.0,0.0,India,,2197331.0,70233,321.0,33.0,0,85.0,397.0,227.0,199.0,1519,8.4,Excellent
2468,2469,87.0,1.0,USA,3500000.0,,49669,419.0,184.0,3000,0.0,1000.0,177.0,83.0,1592,7.2,Good
4995,4996,96.0,5.0,USA,45000.0,,181,4.0,,72,117.0,948.0,482.0,281.0,2058,5.5,Fair
1579,1580,103.0,0.0,USA,31000000.0,53133888.0,50389,136.0,74.0,0,155.0,687.0,151.0,125.0,1440,6.3,Good
742,743,89.0,0.0,USA,60000000.0,66734992.0,23476,181.0,73.0,858,18.0,658.0,257.0,226.0,1233,4.4,Fair
1388,1389,105.0,1.0,USA,37000000.0,20991497.0,39778,172.0,138.0,11000,488.0,15000.0,14000.0,13000.0,44037,5.4,Fair
3681,3682,93.0,1.0,Finland,3850000.0,611709.0,15267,41.0,205.0,0,592.0,232.0,67.0,36.0,391,7.2,Good
834,835,86.0,1.0,USA,56000000.0,45860039.0,53118,221.0,117.0,0,10.0,12000.0,795.0,348.0,14146,6.2,Good
4475,4476,101.0,4.0,USA,1250000.0,,24959,136.0,97.0,0,0.0,287.0,160.0,66.0,581,8.0,Good
2058,2059,106.0,3.0,UK,23000000.0,15785632.0,32513,119.0,216.0,15000,452.0,20000.0,732.0,141.0,21195,7.5,Good
1826,1827,112.0,1.0,USA,15000000.0,4485485.0,14612,105.0,78.0,0,541.0,22000.0,22000.0,638.0,46022,6.4,Good
4383,4384,86.0,0.0,UK,1700000.0,992238.0,16349,103.0,124.0,869,84.0,680.0,46.0,34.0,763,6.8,Good
3205,3206,106.0,1.0,USA,10000000.0,1939441.0,55567,144.0,221.0,20000,34.0,11000.0,11000.0,683.0,23187,6.9,Good
3682,3683,99.0,0.0,France,,753501.0,87244,664.0,192.0,13000,929.0,56.0,46.0,9.0,118,7.4,Good
2138,2139,133.0,0.0,USA,,37721949.0,6067,73.0,75.0,0,0.0,1000.0,912.0,637.0,6035,6.0,Fair
4382,4383,98.0,3.0,USA,1700000.0,1943649.0,8697,122.0,77.0,374,3.0,349.0,347.0,327.0,2095,6.3,Good
1160,1161,105.0,2.0,USA,42000000.0,45290318.0,74169,112.0,154.0,17000,153.0,4000.0,828.0,491.0,6727,6.5,Good
4580,4581,88.0,2.0,USA,1000000.0,104077.0,46076,88.0,117.0,11000,21.0,1000.0,835.0,772.0,4720,7.4,Good
3945,3946,93.0,1.0,UK,2500000.0,64359.0,811,26.0,31.0,108,12.0,578.0,29.0,15.0,643,5.9,Fair
2451,2452,114.0,4.0,UK,18000000.0,5694401.0,194489,192.0,209.0,12000,0.0,27000.0,18000.0,1000.0,46944,7.3,Good
4159,4160,144.0,0.0,India,120000000.0,,27569,106.0,15.0,349,124.0,464.0,426.0,327.0,1761,8.2,Excellent
4399,4400,99.0,0.0,USA,,,3313,40.0,68.0,2000,4.0,427.0,253.0,114.0,992,3.7,Bad
2429,2430,94.0,0.0,USA,18000000.0,17071230.0,31169,192.0,128.0,812,11000.0,11000.0,11000.0,975.0,23283,6.7,Good
651,652,136.0,1.0,USA,68000000.0,33685268.0,75573,662.0,175.0,4000,759.0,11000.0,599.0,354.0,12194,5.5,Fair
1770,1771,104.0,2.0,USA,28000000.0,43097652.0,59068,128.0,171.0,0,96.0,943.0,763.0,559.0,3497,6.3,Good
2127,2128,101.0,3.0,USA,21500000.0,22294341.0,12278,71.0,27.0,758,88.0,957.0,821.0,812.0,4629,6.5,Good
4942,4943,89.0,0.0,USA,125000.0,,100,3.0,3.0,72,0.0,196.0,180.0,163.0,942,7.2,Good
4954,4955,111.0,0.0,USA,100000.0,10174663.0,12399,382.0,31.0,0,589.0,589.0,150.0,51.0,916,6.7,Good
4398,4399,111.0,2.0,USA,1650000.0,2580.0,1618,40.0,22.0,63,1000.0,2000.0,163.0,127.0,2564,5.4,Fair
4001,4002,94.0,1.0,USA,,,4790,52.0,33.0,804,47.0,430.0,209.0,108.0,836,4.8,Fair
3582,3583,122.0,0.0,USA,6000000.0,119078393.0,113152,1416.0,288.0,0,909.0,503.0,328.0,282.0,1448,7.5,Good
3097,3098,101.0,0.0,UK,10000000.0,55865715.0,41763,403.0,173.0,0,13.0,494.0,392.0,368.0,2013,5.5,Fair
256,257,170.0,0.0,USA,110000000.0,102608827.0,264318,799.0,267.0,0,17000.0,29000.0,3000.0,827.0,34582,7.5,Good
4760,4761,87.0,0.0,USA,100000.0,,601,10.0,24.0,22,395.0,991.0,946.0,637.0,3309,6.6,Good
4794,4795,91.0,0.0,UK,229575.0,1229197.0,382240,660.0,131.0,14000,0.0,795.0,561.0,332.0,2158,8.3,Excellent
4198,4199,101.0,1.0,USA,2500000.0,12995673.0,52286,345.0,197.0,24000,119.0,334.0,4.0,0.0,338,7.7,Good
3640,3641,117.0,2.0,USA,7840000.0,,6454,44.0,38.0,733,160.0,11000.0,949.0,898.0,15604,7.4,Good
2966,2967,113.0,1.0,USA,,12796277.0,41226,281.0,232.0,0,438.0,11000.0,536.0,471.0,12274,6.7,Good
3397,3398,90.0,0.0,USA,8000000.0,3442820.0,31489,140.0,328.0,0,26.0,1000.0,442.0,0.0,1442,7.3,Good
4910,4911,59.0,0.0,France,150000.0,,352,4.0,16.0,44,121.0,27.0,0.0,0.0,27,7.4,Good
4579,4580,124.0,6.0,Germany,,621240.0,4999,32.0,100.0,0,13.0,20.0,13.0,7.0,42,7.4,Good
206,207,123.0,1.0,USA,125000000.0,337103873.0,305008,591.0,403.0,52000,508.0,34000.0,22000.0,14000.0,81385,6.7,Good
2980,2981,113.0,0.0,USA,12000000.0,5032496.0,20576,161.0,114.0,652,11000.0,537.0,255.0,99.0,943,6.3,Good
3148,3149,110.0,2.0,USA,30000000.0,15156200.0,15358,131.0,91.0,328,164.0,258.0,218.0,45.0,571,6.0,Fair
4880,4881,95.0,1.0,USA,250000.0,,1488,28.0,12.0,519,7.0,236.0,206.0,89.0,537,4.4,Fair
1370,1371,96.0,0.0,USA,37000000.0,60338891.0,248468,545.0,341.0,0,1000.0,24000.0,11000.0,681.0,36093,7.0,Good
1221,1222,109.0,2.0,USA,40000000.0,83906114.0,104481,189.0,191.0,16000,415.0,982.0,971.0,119.0,2357,6.0,Fair
2027,2028,100.0,2.0,USA,24000000.0,39989008.0,55398,418.0,125.0,891,41.0,45000.0,1000.0,970.0,49847,4.6,Fair
